Record,Type,Subpopulation,Indicator,Metric Category,Category,NResp,Estimate.P,StdError.P,LCB95Pct.P,UCB95Pct.P,Estimate.U,StdError.U,LCB95Pct.U,UCB95Pct.U
766,WSA9_by_Lake_Origin,TPL_MAN_MADE,Acidification,Chemical,Poor-Acid_Mine,1,0.626590908,0.570057472,0,1.743883022,51.41514122,44.33173733,0,138.3037498
767,WSA9_by_Lake_Origin,TPL_MAN_MADE,Acidification,Chemical,Total,83,100,0,100,100,8205.535794,1475.311273,5313.978833,11097.09275
768,WSA9_by_Lake_Origin,TPL_NATURAL,Acidification,Chemical,Good,67,100,0,100,100,6902.600376,1752.614761,3467.538566,10337.66219
769,WSA9_by_Lake_Origin,TPL_NATURAL,Acidification,Chemical,Total,67,100,0,100,100,6902.600376,1752.614761,3467.538566,10337.66219
770,WSA9_by_Lake_Origin,UMW_MAN_MADE,Acidification,Chemical,Good,13,100,0,100,100,903.9952904,272.8188302,369.2802089,1438.710372
771,WSA9_by_Lake_Origin,UMW_MAN_MADE,Acidification,Chemical,Total,13,100,0,100,100,903.9952904,272.8188302,369.2802089,1438.710372
772,WSA9_by_Lake_Origin,UMW_NATURAL,Acidification,Chemical,Good,132,100,0,100,100,25402.56769,3321.628318,18892.29581,31912.83956
773,WSA9_by_Lake_Origin,UMW_NATURAL,Acidification,Chemical,Total,132,100,0,100,100,25402.56769,3321.628318,18892.29581,31912.83956
774,WSA9_by_Lake_Origin,WMT_MAN_MADE,Acidification,Chemical,Good,76,100,0,100,100,2021.646869,367.6709276,1301.025092,2742.268645
775,WSA9_by_Lake_Origin,WMT_MAN_MADE,Acidification,Chemical,Total,76,100,0,100,100,2021.646869,367.6709276,1301.025092,2742.268645
776,WSA9_by_Lake_Origin,WMT_NATURAL,Acidification,Chemical,Good,90,96.87117062,1.731542715,93.47740926,100,5899.775694,1282.565168,3385.994157,8413.557231
777,WSA9_by_Lake_Origin,WMT_NATURAL,Acidification,Chemical,Fair-Low_ANC_Dep,2,1.614306178,1.15578621,0,3.879605523,98.31660225,67.79396392,0,231.1903299
778,WSA9_by_Lake_Origin,WMT_NATURAL,Acidification,Chemical,Natural_Organic_Acid,1,1.514523203,1.224358844,0,3.914222442,92.23948803,72.85459269,0,235.0318658
779,WSA9_by_Lake_Origin,WMT_NATURAL,Acidification,Chemical,Total,93,100,0,100,100,6090.331784,1283.634646,3574.45411,8606.209459
780,WSA9_by_Lake_Origin,XER_MAN_MADE,Acidification,Chemical,Good,74,100,0,100,100,1835.414817,335.4335729,1177.977095,2492.852539
781,WSA9_by_Lake_Origin,XER_MAN_MADE,Acidification,Chemical,Total,74,100,0,100,100,1835.414817,335.4335729,1177.977095,2492.852539
782,WSA9_by_Lake_Origin,XER_NATURAL,Acidification,Chemical,Good,20,100,0,100,100,344.0927697,78.00831767,191.1992765,496.9862628
783,WSA9_by_Lake_Origin,XER_NATURAL,Acidification,Chemical,Total,20,100,0,100,100,344.0927697,78.00831767,191.1992765,496.9862628
784,Std_Fed_Regions,Region_1,Acidification,Chemical,Good,69,94.48579739,2.228108706,90.11878457,98.85281021,7365.460618,668.4510483,6055.320638,8675.600598
785,Std_Fed_Regions,Region_1,Acidification,Chemical,Fair-Low_ANC_Dep,3,3.233016149,1.697882955,0,6.560805591,252.0236245,129.3513958,0,505.5477016
786,Std_Fed_Regions,Region_1,Acidification,Chemical,Natural_Organic_Acid,2,2.281186462,1.40297934,0,5.03097544,177.8255517,108.9338854,0,391.3320438
787,Std_Fed_Regions,Region_1,Acidification,Chemical,Total,74,100,0,100,100,7795.309794,642.2766359,6536.470719,9054.148869
788,Std_Fed_Regions,Region_10,Acidification,Chemical,Good,97,94.41203156,2.940176607,88.6493913,100,3219.557843,620.1453009,2004.095388,4435.020298
789,Std_Fed_Regions,Region_10,Acidification,Chemical,Fair-Low_ANC_Dep,2,2.883088488,2.078185913,0,6.956258031,98.31660225,69.60432197,0,234.7385665
790,Std_Fed_Regions,Region_10,Acidification,Chemical,Natural_Organic_Acid,1,2.704879949,2.028363232,0,6.680398832,92.23948803,68.6290996,0,226.7500515
791,Std_Fed_Regions,Region_10,Acidification,Chemical,Total,100,100,0,100,100,3410.113933,622.7215268,2189.602168,4630.625698
792,Std_Fed_Regions,Region_2,Acidification,Chemical,Good,19,94.45732745,5.315203985,84.03971907,100,8269.055169,3492.719604,1423.450537,15114.6598
793,Std_Fed_Regions,Region_2,Acidification,Chemical,Fair-Low_ANC_Dep,1,5.542672548,5.315203985,0,15.96028093,485.2208539,429.3600577,0,1326.751103
794,Std_Fed_Regions,Region_2,Acidification,Chemical,Total,20,100,0,100,100,8754.276022,3479.290202,1934.992535,15573.55951
795,Std_Fed_Regions,Region_3,Acidification,Chemical,Good,60,100,0,100,100,6005.087364,1111.561477,3826.466902,8183.707826
796,Std_Fed_Regions,Region_3,Acidification,Chemical,Total,60,100,0,100,100,6005.087364,1111.561477,3826.466902,8183.707826
797,Std_Fed_Regions,Region_4,Acidification,Chemical,Good,85,88.5493406,5.367786445,78.02867249,99.07000871,14002.48422,2055.851266,9973.089781,18031.87866
798,Std_Fed_Regions,Region_4,Acidification,Chemical,Fair-Low_ANC_Dep,4,10.43745915,5.329019367,0,20.88214518,1650.496278,903.8323005,0,3421.975035
799,Std_Fed_Regions,Region_4,Acidification,Chemical,Natural_Organic_Acid,1,1.013200249,0.821927999,0,2.624149525,160.2193806,128.1309843,0,411.3514951
800,Std_Fed_Regions,Region_4,Acidification,Chemical,Total,90,100,0,100,100,15813.19988,2221.624281,11458.8963,20167.50346
801,Std_Fed_Regions,Region_5,Acidification,Chemical,Good,231,99.84574621,0.13910978,99.57309606,100,33280.11117,3629.795144,26165.84342,40394.37893
802,Std_Fed_Regions,Region_5,Acidification,Chemical,Poor-Acid_Mine,1,0.154253786,0.13910978,0,0.426903945,51.41514122,45.7179494,0,141.0206755
803,Std_Fed_Regions,Region_5,Acidification,Chemical,Total,232,100,0,100,100,33331.52632,3626.960611,26222.81415,40440.23849
804,Std_Fed_Regions,Region_6,Acidification,Chemical,Good,111,99.83641201,0.147235759,99.54783523,100,15180.58886,3203.704568,8901.443287,21459.73443
805,Std_Fed_Regions,Region_6,Acidification,Chemical,Poor-Acid_Mine,1,0.163587988,0.147235759,0,0.452164773,24.8743113,21.60387788,0,67.21713388
806,Std_Fed_Regions,Region_6,Acidification,Chemical,Total,112,100,0,100,100,15205.46317,3202.960419,8927.776104,21483.15023
807,Std_Fed_Regions,Region_7,Acidification,Chemical,Good,76,100,0,100,100,6289.60279,1043.268512,4244.83408,8334.371499
808,Std_Fed_Regions,Region_7,Acidification,Chemical,Total,76,100,0,100,100,6289.60279,1043.268512,4244.83408,8334.371499
809,Std_Fed_Regions,Region_8,Acidification,Chemical,Good,208,100,0,100,100,13273.83104,2072.681902,9211.449163,17336.21292
810,Std_Fed_Regions,Region_8,Acidification,Chemical,Total,208,100,0,100,100,13273.83104,2072.681902,9211.449163,17336.21292
811,Std_Fed_Regions,Region_9,Acidification,Chemical,Good,66,100,0,100,100,1940.356422,319.1098878,1314.912535,2565.800309
812,Std_Fed_Regions,Region_9,Acidification,Chemical,Total,66,100,0,100,100,1940.356422,319.1098878,1314.912535,2565.800309
813,Major_Basins,Arkansas-White-Red Region,Acidification,Chemical,Good,63,100,0,100,100,6672.076668,1713.492676,3313.692735,10030.4606
814,Major_Basins,Arkansas-White-Red Region,Acidification,Chemical,Total,63,100,0,100,100,6672.076668,1713.492676,3313.692735,10030.4606
815,Major_Basins,California Region,Acidification,Chemical,Good,36,100,0,100,100,1760.328196,297.3729654,1177.487894,2343.168498
816,Major_Basins,California Region,Acidification,Chemical,Total,36,100,0,100,100,1760.328196,297.3729654,1177.487894,2343.168498
817,Major_Basins,Great Basin Region,Acidification,Chemical,Good,44,100,0,100,100,239.2105947,29.52422569,181.3441756,297.0770137
818,Major_Basins,Great Basin Region,Acidification,Chemical,Total,44,100,0,100,100,239.2105947,29.52422569,181.3441756,297.0770137
819,Major_Basins,Great Lakes Region,Acidification,Chemical,Good,95,100,0,100,100,14302.49599,3084.74899,8256.499065,20348.49291
820,Major_Basins,Great Lakes Region,Acidification,Chemical,Total,95,100,0,100,100,14302.49599,3084.74899,8256.499065,20348.49291
821,Major_Basins,Lower Colorado Region,Acidification,Chemical,Good,17,100,0,100,100,99.58258477,10.97496552,78.07204762,121.0931219
